Date,Open,High,Low,Close,Volume,Adj.Close
12/03/2017,88.97,95.1,87.71,93.69,20010700,80.51
11/01/2017,89.83,90.95,83.37,89.16,27396100,76.62
10/01/2017,92.45,95.27,89.67,91.99,23720000,78.74
09/04/2017,85.31,93.66,83.88,92.56,24540500,79.23
08/01/2017,84.99,87.9,78.76,85.73,30843200,73.38
07/02/2017,84.5,93.62,84.12,85.13,28263400,72.58
06/01/2017,83.56,86.58,80.85,83.88,25316000,71.52
05/01/2017,79.5,84.32,79.05,83.17,21117100,70.91
04/02/2017,75.35,80.88,75.28,79.38,23657200,67.39
03/01/2017,70.9,76.35,69.02,75.45,28874700,64.05
02/01/2017,74.58,76.1,71.18,71.68,24060100,60.85
01/03/2017,76.26,76.27,70.64,74.1,26449100,62.64
12/01/2016,76.78,79.0,74.82,76.63,19954400,64.78
11/01/2016,71.58,77.37,70.27,76.81,20701700,64.93
10/02/2016,67.29,72.33,64.84,71.42,21755300,60.11
09/01/2016,67.85,68.65,63.87,67.1,24726500,56.48
08/01/2016,67.24,71.22,67.01,67.67,22894000,56.96
07/03/2016,61.8,67.94,61.63,67.74,22007100,56.75
06/01/2016,60.4,62.65,56.64,61.35,24370100,51.4
05/01/2016,63.4,64.77,59.15,60.91,20876700,51.03
04/03/2016,61.36,65.0,60.43,63.08,19051100,52.58
03/01/2016,59.59,61.92,58.44,60.86,19242900,50.73
02/01/2016,62.77,63.08,58.6,59.37,20284700,49.49
01/03/2016,56.42,63.96,56.42,62.75,21662600,52.03
